filename,text
"texts\cars\Эксперт рассказал, как сэкономить на автощетках.txt",эксперт рассказывать сэкономить автощетка банальный замена простой резинка разборный стеклоочиститель лобовой стекло автомобиль мочь сэкономить тысяча рубль заявлять aif ru автоэксперт блогер сергей логинов аргумент факт наступление зимний сезон расти трата водитель расходный автозапчасть аргумент факт данные логинов цена обычный стеклоочиститель сбор возрастать тыс рубль тыс рубль брендовый тыс рубль тыс рубль ИА SM News тот время стоимость замена резинка варьироваться рубль продукция китайский производство рубль изделие известный бренд ИА SM News
texts\culture\GamesVoice опубликовала русскую версию еще одной песни из Alan Wake 2.txt,GamesVoice опубликовывать русский версия один песня Alan Wake студия GamesVoice свой социальный сеть выкладывать отрывок песня Dark Ocean Summoning Alan Wake композиция исполнять талантливый музыкант михаил сидоренко становиться один друг студия Metaratings ru Cybersport GamesVoice успешно завершать сбор средство дубляж Alan Wake январь Gamemag ru активный работа локализация продолжаться срок релиз не давать Gamemag ru установка сюжет в игра появляться три эпизод посвящать шериф тим брейкер официантка роуз мэриголд еще один девушка Metaratings ru Cybersport
texts\culture\SHAMAN назвал себя из будущего своим главным конкурентом.txt,SHAMAN называть себя будущее свой главный конкурент певец ярослав дронов выступать псевдоним SHAMAN называть имя свой главный конкурент сцена Passion ru интервью aif ru артист признаваться видеть конкурент себя год Passion ru знаменитость много выступать радовать публика хит даже примерять себя неожиданный образ Passion ru отвечать дронов на претензия ксения собчак заявлять певец спаивать народ свой песня Passion ru
texts\culture\Александр Ревва сыграет главную роль в продолжении сериала «Ждун».txt,александр ревва сыграть главный роль продолжение сериал ждун кинокомпания кино да продакшн начинать Okko съемка второй часть семейный комедия ждун александр ревва главный роль ТН звезда летний александр ревва исполнять главный роль продолжение сериал ждун Passion ru ждун семейный сериал приключение инопланетянин случайно оказываться земля с помощь семейство семенов пытаться улетать домой Passion ru режиссер комедия выступать дмитрий суворов Passion ru
texts\culture\В Башкирии выполняют задачу Путина.txt,башкирия выполнять задача путин перед начало встреча радий хабир светлана чупшев посещать универмаг фабрика архитектурный школа кубус студия творческий развитие оперение хахач общественный электронный газета ход встреча министр экономический развитие инвестиционный политика РБ рустам муратов рассказывать о работа развитие творческий проект общественный электронный газета качество отрасль специализация выбирать кино анимация музыка исполнительский искусство культурный наследие музейный деятельность народный промысел ремесло IT индустрия общественный электронный газета фото страница радий хабиров соцсеть благоварский весть
texts\culture\В Крыму сегодня стартует прокат нового российского фильма-сказки «Огниво».txt,крым сегодня стартовать прокат новый российский фильм сказка огниво прокат выходить новый фильм сказка огниво создавать участие телеканал россия Smotrim ru однажды поиск удача главный герой находить старинный зажигалка огниво внезапно появляться царевна даша просить помощь вести амурский область фильм сказка поражать свой размах масштабный батальный сцена впечатлять спецэффект невероятный пейзаж сказочный мир гтрк самара увидеть история иван можно весь кинотеатр гтрк пенза
texts\culture\Группировка «Ленинград» выпустила сингл «Ёлки. Тёлки. Озеро».txt,группировка ленинград выпускать сингл елка телок озеро группировка ленинград порадовать поклонник новый сингл елка параллельно состояться сетевой релиз одноименный сингл коллектив российский газета сергей шнуров выпускать композиция дракон саундтрек фильм майор гром игра тогда количество клип группировка включая версия приближаться российский газета
texts\culture\Девушки из школы №9 погрузились в атмосферу первого бала Наташи Ростовой.txt,девушка школа № погружаться атмосфера первый бал наташа ростова не простой стиль классический русский бал XIX век свой произведение любить описывать классика русский литература аткарский газета сегодня школьный зал пар кружиться классический вальс танцевать бранль менуэт слушать романс исполнение педагог аткарский дши оживлять сцена произведение отечественный классик аткарский газета нет в этот постыдный думать уметь хорошо вальсировать должный каждый молодой человек аткарский газета лично я не первый бал я не волноваться погружаться в этот волшебный атмосфера аткарский газета
texts\culture\Звезда 90-х Профессор Лебединский опубликовал публичное завещание.txt,звезда х профессор лебединский опубликовывать публичный завещание российский артист алексей лебединский известный профессор лебединский опубликовывать завещание телеканал ° летний лебединский ментальный болезнь переставать выходить дом завещать свой имущество авторский право включая музыка текст песня стих публицистика музыкальный другой видео также фотоматериал свой друг василий мельников газета Ru сам лебединский начало год уезжать сша News ru профессор лебединский прославляться благодаря хит лодочник комарик бежать год газета Ru
"texts\culture\Комик Чебатков заявил, что ему сложнее выступать на английском, чем на русском.txt",комик чебаток заявлять он выступать английский русский популярный рф стенд ап комик казахстан евгений чебатков рассказывать сложность выступление главный региональный английский комик трудно выступать русский язык главный региональный волнение гораздо много на большой концерт нью-йорк на русский язык я понимать что происходить человек приходить на я сказать чебаток газета Ru еда один самый неприятный явление сша канада рассказывать юморист главный региональный
texts\culture\Лидер «Миража» Алексей Горбашов обвинил фильм о «Руки Вверх!» в клевете.txt,лидер мираж алексей горбашов обвинять фильм рука вверх клевета лидер группа мираж алексей горбашов осуждать фильм рука вверх одноименный группа разговор портал страсть леди Mail ru горбашов рассказывать сайт страсть год знакомый они малик являться концертный директор мираж Passion ru генеральный директор музыкальный издательство джем андрей черкасов считать в фильм специально изменять имя фамилия персонаж продюсер избегать претензия ныне здравствующий жить андрей маликов Passion ru доказывать у группа рука вверх один единственный продюсер директор андрей маликов составлять труд сказать он Passion ru
texts\culture\Мастер комедии и трюков 10 лучших фильмов с Джеки Чаном.txt,мастер комедия трюк хороший фильм джеки чан работать боевик проект джеки собирать собственный команда каскадер который сотрудничать по сей день чемпионат полицейский история гонконг год жанр комедийный боевик режиссер джеки чан чэнь Чи хва главный актер джеки чан бриджит линь мэгги чун возрастной ограничение главный герой полицейский кевин бросать вызов гонконгский наркомафия чемпионат год выходить продолжение доспехи бог операция кондор азиатский ястреб разыскивать база вермахт который нацист время второй мировой война спрятать золото чемпионат кстати третий часть фильм приносить джеки чан попадание книга рекорд гиннесса самый большой количество упоминание титр один фильм чемпионат
texts\culture\На НТВ — финал седьмого сезона самого популярного сериала России.txt,нтв финал седьмой сезон самый популярный сериал россия сегодня зритель нтв увидеть развязка седьмой сезон остросюжетный хит невский невский нтв финальный серия седьмой сезон верный друг главный герой алексей фомин сообщать криминальный авторитет город покидать место смотреть нтв маша завьялова взяться таки дело калинина собирать очки карма выступать единый фронт зарваться крылова TV Mag зритель подозревать босс тучков панкратов даже латышев персонаж кануть лет старт сериал и московский следователь маргарита харитонов оказываться работать на архитектор TV Mag
texts\culture\Начались съемки комедии «Старый орел» с Деревянко и Михалковой.txt,начинаться съемка комедия старый орел деревянко михалкова фото начинаться съемка лирический семейный комедия старый орел павел деревянко надежда михалкова ру новый картина заявлять дебютный режиссерский работа призер фестиваль реклама Red Apple мурад ногмов заниматься съемка реклама видеоклип Lenta ru главный герой история батраз зелимханович алик караев осетинский дед уединенно жить горный село Lenta ru батраз приезжать новый глава местный администрация семен павел деревянко сообщать решение ликвидировать село что один человек административный единица российский газета
texts\culture\Новосибирские разработчики «Смуты» планируют полностью переозвучить игру.txt,новосибирский разработчик смута планировать полностью переозвучивать игра компания сайберия новый заниматься разработка игра смута партнерство студия бук полностью переозвучивать свой проект тасс главный герой заговорить голос супруг иван анастасия жарков кп новосибирск переозвучивание диалог связывать грядущий обновление тот число сценарий графика игровой механик кп новосибирск главный герой новый голос получать другой персонаж смута аиф новосибирск
texts\culture\Сказочный блокбастер «Огниво» вышел на экраны страны.txt,сказочный блокбастер огниво выходить экран страна октябрь большой экран выходить премьера отечественный блокбастер огниво гтрк ставрополье приморец появляться возможность попадать сказка Smotrim ru классический история андерсен становиться основа новый сказка вести калининград и начинаться увлекательный путешествие главный герой гтрк бурятия
texts\culture\Умер режиссер первых серий «Улиц разбитых фонарей» Игорь Москвитин.txt,умирать режиссер первый серия улица разбивать фонарь игорь москвитин российский режиссер сценарист игорь москвитин умирать м год жизнь коммерсант москвитин рождаться июнь год пятигорск тасс год москвитин оканчивать ленинградский театральный институт режиссерский факультет риа новость большой популярность режиссер приносить выход сериал улица разбивать фонарь коммерсант
texts\economics\«Туркменгаз» назвал причину прекращения поставок газа в РФ.txt,туркменгаз называть причина прекращение поставка газ рф туркменгаз газпром становиться продлевать контракт поставка туркменский газ что сторона договариваться ценовый вопрос тасс мы сейчас направление российский федерация поставка природный газ осуществляться процесс переговоры продолжаться загадывать будущее мочь сказать интерфакс господин арчаев поле конференция нефть газ туркменистан коммерсант отмечать журналист посол рф ашхабад иван волынкин туркмения полностью выполнять контрактный обязательство поставка газ россия год тасс год рамка указанный контракт туркменгаз поставлять россия млрд куб м газ год млрд куб м тасс
texts\economics\Банк России поднял ключевую ставку до исторического максимума — 21% годовых.txt,банк россия подымать ключевой ставка исторический максимум годовой совет директор банк россия подымать сегодня ключевой ставка исторический максимум риа новость слово цб необходимый дальнейший ужесточение денежно-кредитный политика обеспечивать возвращение инфляция целевой уровень снижать инфляционный ожидание вечерний москва согласно обновлять прогноз банк россия прогноз инфляция год вырастать с BFM ru банк россия допускать ключевой ставка продолжать расти далеко версия
"texts\economics\В производство строительной арматуры в Уфе инвестируют ₽2,7 млрд.txt",производство строительный арматура уфа инвестировать млрд объем капиталовложение проект оцениваться млрд руб РБК реализовывать план развитие производство должный год создание рабочий место башинформ ввод эксплуатация новый предприятие позволять создавать рабочий место башинформ итог обсуждение инвестпроект получать статус приоритетный предоставление налоговый льгота архангельский вестник
"texts\economics\Индия в августе нарастила закупки российских нефтепродуктов в 1,4 раза.txt",риа индия август наращивать закупка российский нефтепродукт раз поставка российский нефтепродукт индия август переходить рост два месяц сокращение газета Ru результат россия вернуть себя первый место список ключевой поставщик нефтепродукт индийский рынок газета Ru россия первый пятерка экспортер нефтепродукт индия входить южный корея миллион доллар оаэ миллион малайзия миллион сингапур миллион риа новость много в август нью-дели закупать москва лигроин тяжелый бензин на миллион доллар также гидравлический миллион доллар смазочный масло миллион риа новость
"texts\economics\Набиуллина допустила, что Центробанк может повысить ставку выше 21% в декабре.txt",набиуллина допускать центробанк мочь повышать ставка декабрь центральный банк россия мочь повышать ключевой ставка раз текущий год заседание декабрь заявлять глава регулятор эльвира набиуллин комсомольский правда совет директор банк россия очередной заседание повышать ключевой ставка годовой РБК решение связанный более высокий прогнозировать регулятор уровень инфляция общественный служба новость итог сентябрь годовой темп рост потребительский цена в страна учет сезонность увеличиваться процент без учет до процент Lenta ru
texts\economics\Набиуллина объяснила рост цен в 2024 году перегревом спроса.txt,набиуллина объяснять рост цена год перегрев спрос глава центральный банк россия эльвира набиуллин пресс-конференция заседание совет директор регулятор заявлять недавний рост цена страна нельзя объяснять структурный трансформация экономика комсомольский правда банк россия пятница ожидать повышать ключевой ставка процентный пункт рекордный годовой риа новость слово глава российский регулятор данный рост цена являться следствие усиливаться перегрев спрос рост опережать темп расширение предложение RT на русский слово глава регулятор изначально ожидаться снижение ключевой ставка замедление инфляция газета Ru
texts\economics\Пять компаний получили сертификаты «Сделано в России» по соглашению с РЭЦ.txt,пять компания получать сертификат сделать россия соглашение рэц рамка реализация соглашение межрегиональный специализированный продовольственный выставка ростов гостеприимный сертификат соответствие сделать россия вручать представитель пять ростовский компания риа новость сертификат получать производитель матрас Veles ао алмаз сертифицировать свой медицинский техника риа новость напоминать программа сделать россия представлять себя комплекс мероприятие направлять продвижение качественный конкурентоспособный продукция производить россия международный рынок риа новость компания обладать сертификат получать возможность участвовать рекламный информационный кампания продвижение свой продукция приоритетный рынок также другой страна риа новость
texts\economics\токенизированные RWA-активы станут конкурентами USDT от Tether.txt,Bloomberg токенизировать RWA актив становиться конкурент USDT Tether токенизировать актив реальный мир Real world assets RWA относительно новый сектор криптоэкономика РБК присоединяться форум РБК крипто Telegram обсуждение новость тенденция криптомир РБК информация издание BlackRock WisdomTree вести переговоры криптобиржа брокер то разрешать использование свой RWA токен качество залог РБК общий рыночный стоимость токен данные октябрь превышать млрд РБК
"texts\economics\Чистая прибыль Mercedes-Benz в III кв. упала в два раза, не оправдав прогнозов.txt",чистый прибыль Mercedes Benz III кв упасть два раз оправдывать прогноз чистый прибыль Mercedes третий квартал снижаться млрд евро млрд евро аналогичный период предыдущий год интерфакс выручка компания снижаться до € млрд коммерсант автоконцерн продавать китай мало автомобиль год нтв легковой автомобиль Mercedes Benz минувший квартал продавать мало тыс единица реализация электромобиль сокращаться интерфакс
texts\economics\Экономист Беляев назвал самым выгодным способом вложения денег вклады в банках.txt,экономист беляев называть самый выгодный способ вложение деньги вклад банк вклад банка оставаться наиболее предпочтительный способ хранение сбережение россиянин заниматься профессиональный инвестиция ридус правило род заманчивый предложение исходить мошенник заключать экономист Lenta ru беляев предостерегать нестабильный экономический условие возможный отзыв лицензия банк это вложение металлический счет не защищать страховка в отличие обычный вклад ридус регулятор объяснять повод такой решение становиться усиление момент сентябрьский заседание большинство проинфляционный фактор также сохраняться высокий уровень рост цена увеличение инфляционный ожидание Lenta ru
texts\economics\Эксперты РБК дали прогноз по курсу рубля после решения ЦБ по ставке.txt,год регулятор многое удаваться достигать поставлять цель ставка уровень продержаться апрель год РБК решение цб совпадать ожидание большинство опрашивать РБК аналитик прогнозировать повышение ставка б п шесть эксперт предсказывать повышение ключевой ставка РБК получать кредит цб банк выдавать кредит компания розничный потребитель собственный процент высокий ставка цб РБК инфляция итог сентябрь вырастать пересчет год коррекция сезонность недельный инфляция октябрь волатильный по-прежнему заметно высоко цель банк россия в пересчет год данные по октябрь приводить цифра эксперт РБК
texts\science\Clone создали искусственные мышцы для роботов.txt,Clone создавать искусственный мышца робот инженер польский стартап Clone создавать прототип антропоморфный мускульный скелетный робот Torso конструкция воспроизводить анатомия торс тело человек N робот мочь двигать рука также повертывать наклонять голова N движение тело приводиться искусственный гидравлический мышца матрица клапан располагаться грудной отдел N робот находиться процесс обучение двуручный манипуляция
texts\science\JAMA Ophthalmology добавки с куркумином защищают от потери зрения.txt,JAMA Ophthalmology добавка куркумин защищать потеря зрение американский ученый доказывать добавка куркумин снижать риск развитие возрастной макулярный дегенерация Anonsens возрастной макулярный дегенерация сетчатка глаз развиваться хронический воспаление вести слепота Anonsens ход недавний исследование специалист обнаруживать куркума обладать антиоксидантный противовоспалительный свойство Anonsens сообщаться JAMA Ophthalmology человек принимать куркумин снижаться риск развитие разный форма макулодистрофия также риск развитие слепота N
texts\science\LU химики приблизились к открытию самого тяжелого элемента таблицы Менделеева.txt,LU химик приближаться открытие самый тяжелый элемент таблица менделеев недавний эксперимент ученый открывать новый метод синтез атом сверхтяжелый элемент ливерморий содержать протон экоправда исследование сосредотачивать изучение остров стабильность теоретический зона периодический таблица сверхтяжелый элемент мочь демонстрировать существенно длительный время жизнь радиоактивный распад экоправда ход эксперимент ученый бомбардировать мишень состоять элемент тяжелый уран интенсивный ионный пучок экоправда исследование ливермория продолжаться течение год планироваться переключаться элемент что занимать ожидаться год Ferra
"texts\science\«Палеороботы» расскажут ученым, как рыбы вышли на сушу.txt",палеоробот рассказывать ученый рыба выходить суша ишид сотрудник кембриджский лаборатория биоинспирировать робототехника возглавлять профессор фумия иида TechInsider ископаемое свидетельство у быть неполный картина древний жизнь переходить суша замечать ведущий автор исследование доктор майкл ишид Lenta ru слово специалист сей пора точно неизвестно как выглядеть древний рыба первый выходить вода суша Lenta ru создание робот ученый вдохновляться современный ходячий рыба илистый прыгун также использовать окаменелость древний рыба газета Ru
texts\science\Академик Черниговская сравнила интеллект человека и ИИ.txt,академик черниговский сравнивать интеллект человек ия ключевой слово здесь подчеркивать академик демонстрировать даже выдающийся достижение современный технология снимать вопрос глубинный различие между человек машина сообщать риан экоправда черниговский акцентировать человек оставаться высокий планета выделяться особый черта можно поражать латинский человек разумный разговаривать семиотический экоправда человеческий мозг представлять себя семиотический пространство который человек мыслить семантически прагматически синтаксически тот время ия функционировать лишь на синтаксический уровень экоправда главный организатор форум выступать научный совет президиум ран методология искусственный интеллект когнитивный исследование нсмий ран риа новость
texts\science\В горах Узбекистана найдены два средневековых города Шёлкового пути.txt,гора узбекистан находить два средневековый город шелковый путь радарный исследование показывать два средневековый город располагать примерно пять километр друг друг гора узбекистан российский газета исследователь считать поселение оживлять VIII XI век Snob ru открытие становиться возможный благодаря использование беспилотник инструмент дистанционный зондирование известный лидар использовать отраженный свет создание трехмерный карта окружающий среда афиша Daily быть выявлять след сельскохозяйственный терраса обнаруживать центральный крепость окружать каменный глинобитный стена российский газета
texts\science\В Сибири первую фазу испытаний прошло единственное в России лекарство от рака.txt,сибирь первый фаза испытание проходить единственный россия лекарство рак сибирь единственный наш страна лекарство рак проходить первый фаза испытание газета жизнь первый фаза испытание производить оценка безопасность переносимость препарат пациент вводить один доза препарат оценивать реакция организм Lenta ru впервые мир противоопухолевый препарат вводить ген кодирующий белок убийца раковый клетка риа новость испытание подтверждать препарат нетоксичный безопасный вызывать положительный терапевтический эффект отмечать ихбфм риа новость
texts\science\Идет расследование новой тайны обнаружено «нечто» в телах перуанских мумий.txt,идти расследование новый тайна обнаруживать нечто тело перуанский мумия ученый наткнуться таинственный останки гуманоид перу приходить необычный вывод медиапоток результат ладонь один образец обнаруживать имплант легкий металл сообщать Daily Mail мир устанавливать состав сплав входить алюминий олово серебро медь кадмий осмий РБК в министерство культура перо предполагать мумия мочь качественный подделка создавать кость животное современный материал хибины ru
texts\science\Исследование раскрывает новую роль воспалительного белка в жировой ткани.txt,исследование раскрывать новый роль воспалительный белок жировой ткань новый исследование опубликовывать Nature Communications показывать воспалительный белок IL иметь важный физиологический функция жировой ткань Android robot com исследователь Karolinska Institutet обнаруживать IL помогать организм управлять запас энергия сигнализировать клетка необходимость преобразование новый жировой клетка мочь безопасно хранить энергия Android robot com исследование показывать IL обычно ассоциироваться негативный воспалительный эффект выполнять неизвестный функция здоровый хранение энергия Android robot com исследование проводиться сотрудничество несколько другой лаборатория особенно группа профессор марк донат базельский университет швейцария Android robot com
texts\science\Российские нейросети помогут в мониторинге земель.txt,российский нейросеть помогать мониторинг земля алгоритм основывать модель PointNext собирать трехмерный данные местность Ferra беспилотник лидар осуществлять съемка территория что очищать шум данные обрабатываться нейросеть выполнять сегментация классификация объект включая постройка пояснять аспирант физтех школа радиотехника сергей самарин карл маркс российский исследователь адаптировать алгоритм PointNext выявление различный объект антропогенный ландшафт тот число поиск постройка дерево свободный земля крыша здание прочий неровность поверхность тасс наука информация центр научный коммуникация мфти система демонстрировать точность распознавание объект карл маркс
texts\science\Учёные разработали микророботов для точной доставки лекарств.txt,ученый разрабатывать микроробот точный доставка лекарство команда ученый наньянский технологический университет NTU разрабатывать микроробот размер зерно управлять магнитный поле целевой доставка лекарство Ferra новый микроробот обладать высокий точность мочь значительно улучшать терапевтический результат минимизировать побочный эффект Ferra ход лабораторный эксперимент робот продемонстрировать свой способность перемещаться поверхность разделять четыре секция успешно выпускать разный лекарство регулировать скорость Ferra кроме они выполнять задача сложный условие как густой жидкость сохранять минимальный утечка препарат ITinfo
texts\science\Учёные рассказали о важности генеративного ИИ в образовании будущего.txt,ученый рассказывать важность генеративный ия образование будущий ключевой рекомендация включать реформирование процесс оценка цель оценка подлинный развитие навык поддержка учитель адаптация технология GenAI содействие взаимодействие человек ия Ferra регион число лидер охват студент весь тип программа ия входить москва санкт-петербург ростовский вологодский архангельский челябинский самарский пензенский московский область РБК вакансия специалист опыт работа искусственный интеллект машинный обучение часто размещать работодатель москва санкт-петербург новосибирск казань следовать данный сервис поиск работа Superjob РБК автор подчеркивать важность этический норма инклюзивность разработка регулирование инструмент GenAI Ferra
"texts\science\Учёные рассказали, что красное мясо способствует развитию рака.txt",ученый рассказывать красный мясо способствовать развитие рак колоректальный рак опасный заболевание часто приводить смерть радио фермент теломераз мочь перестраивать теломер восстанавливать деление клетка TechInsider ученый выяснять железо красный мясо активировать фермент теломераза белок пирин способствовать прогрессирование рак медиапоток лабораторный испытание показывать замедлять рост опухоль открывать новый возможность создание эффективный метод лечение колоректальный рак медиапоток
