text,top_terms
texts\cars\Состоялась презентация 7-местного Mitsubishi DST.txt,"{'DST': 0.2324714983472026, 'консоль': 0.2324714983472026, 'Motor': 0.2324714983472026, 'Mitsubishi': 0.2324714983472026, 'серийный': 0.2324714983472026, 'состояться': 0.1976261082742443, 'машина': 0.16278071820128595, 'презентация': 0.1162357491736013, 'шестиугольный': 0.1162357491736013, 'концепт': 0.1162357491736013}"
"texts\cars\Топ-10 автомобилей, которым не грозит ржавчина. Среди них есть машины из КНР.txt","{'ржавчина': 0.34764283344142977, 'выделяться': 0.3171612921607713, 'руль': 0.26505275316369015, 'автомобиль': 0.19131721645018626, 'V': 0.17382141672071488, 'Jolion': 0.17382141672071488, 'оцинковка': 0.17382141672071488, 'CR': 0.17382141672071488, 'покраска': 0.17382141672071488, 'высококачественный': 0.17382141672071488}"
texts\cars\У Mercedes остался только один комплект новинок.txt,"{'чемпионат': 0.3404407263563957, 'днище': 0.2696119068685227, 'расселл': 0.2696119068685227, 'мерседес': 0.2459721660816484, 'гран-при': 0.22919950306873954, 'команда': 0.18192002149499087, 'комплект': 0.13480595343426136, 'мексика': 0.13480595343426136, 'ускоренный': 0.13480595343426136, 'спецификация': 0.13480595343426136}"
texts\cars\УАЗ обновил штампы для выпуска «Буханки».txt,"{'деталь': 0.3769790046944221, 'уаз': 0.28273425352081655, 'буханка': 0.2066047348449235, 'Quto': 0.2066047348449235, 'сопряжение': 0.2066047348449235, 'штамп': 0.2066047348449235, 'заменять': 0.2066047348449235, 'ряд': 0.18848950234721104, 'качество': 0.1756365403446272, 'старый': 0.1756365403446272}"
texts\cars\Эксперт призвал россиян отказаться от покупки китайских автомобилей.txt,"{'китайский': 0.35421663290104577, 'SpeedMe': 0.33411048642797603, 'тыс': 0.33411048642797603, 'призывать': 0.20833601417616646, 'марка': 0.20833601417616646, 'отказываться': 0.20833601417616646, 'покупка': 0.17710831645052288, 'автомобиль': 0.17197938149885353, 'обновление': 0.16705524321398801, 'эксперт': 0.16705524321398801}"
"texts\cars\Эксперт рассказал, как сэкономить на автощетках.txt","{'рубль': 0.5859675165881447, 'тыс': 0.29429599704079085, 'аргумент': 0.18350952006020416, 'резинка': 0.18350952006020416, 'стеклоочиститель': 0.18350952006020416, 'факт': 0.18350952006020416, 'логинов': 0.18350952006020416, 'замена': 0.16741929045375567, 'сэкономить': 0.16741929045375567, 'SM': 0.16741929045375567}"
texts\culture\GamesVoice опубликовала русскую версию еще одной песни из Alan Wake 2.txt,"{'Alan': 0.31158058420787504, 'GamesVoice': 0.31158058420787504, 'Wake': 0.31158058420787504, 'Metaratings': 0.2077203894719167, 'Gamemag': 0.2077203894719167, 'Cybersport': 0.2077203894719167, 'один': 0.19671742549932492, 'песня': 0.1765849683613018, 'студия': 0.1765849683613018, 'ru': 0.1635929508567937}"
texts\culture\SHAMAN назвал себя из будущего своим главным конкурентом.txt,"{'Passion': 0.3937984362144455, 'конкурент': 0.3169622525081868, 'себя': 0.27858415202147097, 'дронов': 0.23161644307268972, 'певец': 0.23161644307268972, 'SHAMAN': 0.23161644307268972, 'ru': 0.2280157564547764, 'свой': 0.21281057761178584, 'называть': 0.16887009565117184, 'выступать': 0.16218199314175574}"
texts\culture\Александр Ревва сыграет главную роль в продолжении сериала «Ждун».txt,"{'ждун': 0.41055300752734597, 'александр': 0.3079147556455095, 'ревва': 0.3079147556455095, 'роль': 0.28091659709807104, 'сериал': 0.2617610987629666, 'Passion': 0.2617610987629666, 'главный': 0.19440299259284663, 'семейный': 0.18727773139871404, 'продолжение': 0.18727773139871404, 'комедия': 0.1745073991753111}"
texts\culture\В Башкирии выполняют задачу Путина.txt,"{'общественный': 0.2961990916471802, 'электронный': 0.2961990916471802, 'развитие': 0.24753457204945686, 'творческий': 0.21644400715163875, 'радий': 0.21644400715163875, 'хабир': 0.21644400715163875, 'встреча': 0.21644400715163875, 'газета': 0.17867245193428813, 'специализация': 0.10822200357581938, 'IT': 0.10822200357581938}"
texts\culture\В Крыму сегодня стартует прокат нового российского фильма-сказки «Огниво».txt,"{'огниво': 0.3349741258510365, 'сказка': 0.3349741258510365, 'фильм': 0.29441513006957876, 'прокат': 0.24477840795568118, 'гтрк': 0.223316083900691, 'размах': 0.12238920397784059, 'самара': 0.12238920397784059, 'просить': 0.12238920397784059, 'пейзаж': 0.12238920397784059, 'кинотеатр': 0.12238920397784059}"
texts\culture\Группировка «Ленинград» выпустила сингл «Ёлки. Тёлки. Озеро».txt,"{'сингл': 0.41137332199950194, 'группировка': 0.41137332199950194, 'ленинград': 0.2742488813330013, 'елка': 0.2742488813330013, 'выпускать': 0.23314143669973159, 'газета': 0.15092654743319212, 'российский': 0.14073488090124564, 'шнуров': 0.13712444066650065, 'поклонник': 0.13712444066650065, 'гром': 0.13712444066650065}"
texts\culture\Девушки из школы №9 погрузились в атмосферу первого бала Наташи Ростовой.txt,"{'аткарский': 0.47096926055001026, 'бал': 0.2825815563300062, 'не': 0.21544819076837773, 'газета': 0.20734965727912494, 'произведение': 0.18838770422000412, 'погружаться': 0.18838770422000412, 'атмосфера': 0.18838770422000412, 'классический': 0.17186975237239902, 'я': 0.17186975237239902, 'этот': 0.17186975237239902}"
texts\culture\Звезда 90-х Профессор Лебединский опубликовал публичное завещание.txt,"{'лебединский': 0.6291577089565932, 'профессор': 0.2674263090224698, 'завещание': 0.20971923631886438, 'опубликовывать': 0.15989589207817423, 'Ru': 0.14150757814136858, 'свой': 0.12846086177428967, 'газета': 0.11541414540721077, 'болезнь': 0.10485961815943219, 'авторский': 0.10485961815943219, 'стих': 0.10485961815943219}"
"texts\culture\Комик Чебатков заявил, что ему сложнее выступать на английском, чем на русском.txt","{'региональный': 0.3416312956286135, 'комик': 0.3416312956286135, 'русский': 0.27393871101176515, 'на': 0.2305149404044177, 'язык': 0.22775419708574232, 'английский': 0.22775419708574232, 'чебатка': 0.22775419708574232, 'главный': 0.2156900408827241, 'я': 0.20778456649796867, 'выступать': 0.15947757913790936}"
texts\culture\Лидер «Миража» Алексей Горбашов обвинил фильм о «Руки Вверх!» в клевете.txt,"{'вверх': 0.2753258726157757, 'мираж': 0.2753258726157757, 'горбашов': 0.2753258726157757, 'андрей': 0.2511851277349093, 'рука': 0.23405699666029978, 'группа': 0.23405699666029978, 'Passion': 0.23405699666029978, 'фильм': 0.2207713860458105, 'директор': 0.20991625177943335, 'малик': 0.18355058174385047}"
texts\culture\Мастер комедии и трюков 10 лучших фильмов с Джеки Чаном.txt,"{'джеки': 0.44967389202816427, 'чан': 0.3597391136225314, 'чемпионат': 0.2271224712641928, 'фильм': 0.21634391450791032, 'боевик': 0.1798695568112657, 'полицейский': 0.1798695568112657, 'который': 0.12594789403626333, 'главный': 0.1135612356320964, 'золото': 0.08993477840563285, 'попадание': 0.08993477840563285}"
texts\culture\На НТВ — финал седьмого сезона самого популярного сериала России.txt,"{'нтв': 0.37637275876112464, 'седьмой': 0.30940871928554814, 'сезон': 0.24810088191986213, 'невский': 0.20627247952369873, 'Mag': 0.20627247952369873, 'зритель': 0.20627247952369873, 'TV': 0.20627247952369873, 'сериал': 0.1753540871124938, 'панкратов': 0.10313623976184937, 'латышев': 0.10313623976184937}"
texts\culture\Начались съемки комедии «Старый орел» с Деревянко и Михалковой.txt,"{'деревянко': 0.321157202110702, 'съемка': 0.27301862141650657, 'орел': 0.21410480140713464, 'село': 0.21410480140713464, 'батраз': 0.21410480140713464, 'михалкова': 0.21410480140713464, 'реклама': 0.21410480140713464, 'павел': 0.19533195837777217, 'начинаться': 0.19533195837777217, 'комедия': 0.18201241427767106}"
texts\culture\Новосибирские разработчики «Смуты» планируют полностью переозвучить игру.txt,"{'смута': 0.3695092249532036, 'новосибирск': 0.33711042477516745, 'переозвучивать': 0.24633948330213576, 'голос': 0.24633948330213576, 'кп': 0.24633948330213576, 'полностью': 0.20941540681507417, 'игра': 0.19752850921611917, 'герой': 0.17960457192081353, 'главный': 0.15552724210087449, 'разработчик': 0.12316974165106788}"
texts\culture\Сказочный блокбастер «Огниво» вышел на экраны страны.txt,"{'экран': 0.3132113649532495, 'блокбастер': 0.3132113649532495, 'огниво': 0.28574879638572476, 'гтрк': 0.28574879638572476, 'сказка': 0.28574879638572476, 'выходить': 0.23880122533002754, 'ставрополье': 0.15660568247662476, 'основа': 0.15660568247662476, 'приморец': 0.15660568247662476, 'калининград': 0.15660568247662476}"
texts\culture\Умер режиссер первых серий «Улиц разбитых фонарей» Игорь Москвитин.txt,"{'москвитин': 0.49585173197917815, 'режиссер': 0.31614600747442917, 'улица': 0.24792586598958907, 'игорь': 0.24792586598958907, 'фонарь': 0.24792586598958907, 'разбивать': 0.24792586598958907, 'умирать': 0.24792586598958907, 'коммерсант': 0.21076400498295278, 'год': 0.1720529817356793, 'оканчивать': 0.12396293299479454}"
texts\economics\«Туркменгаз» назвал причину прекращения поставок газа в РФ.txt,"{'газ': 0.5407969191727302, 'поставка': 0.32891967115301723, 'туркменгаз': 0.2703984595863651, 'тасс': 0.20615945237559938, 'контракт': 0.18026563972424342, 'куб': 0.18026563972424342, 'м': 0.1532454390648011, 'рф': 0.1532454390648011, 'млрд': 0.14454687734303254, 'год': 0.12509885039727234}"
texts\economics\Банк России поднял ключевую ставку до исторического максимума — 21% годовых.txt,"{'банк': 0.3762326728956233, 'ставка': 0.28217450467171745, 'россия': 0.2650984891413941, 'исторический': 0.24673313307917527, 'подымать': 0.24673313307917527, 'максимум': 0.24673313307917527, 'ключевой': 0.24129161721737963, 'прогноз': 0.22509941750158616, 'инфляция': 0.19784415919869425, 'BFM': 0.12336656653958764}"
"texts\economics\В производство строительной арматуры в Уфе инвестируют ₽2,7 млрд.txt","{'башинформ': 0.3069121862998241, 'производство': 0.2800019336602817, 'рабочий': 0.2800019336602817, 'млрд': 0.24609902483926532, 'место': 0.23399855291986368, 'арматура': 0.15345609314991204, 'статус': 0.15345609314991204, 'капиталовложение': 0.15345609314991204, 'инвестировать': 0.15345609314991204, 'льгота': 0.15345609314991204}"
"texts\economics\Индия в августе нарастила закупки российских нефтепродуктов в 1,4 раза.txt","{'миллион': 0.6098353623455292, 'нефтепродукт': 0.3484773499117309, 'доллар': 0.2613580124337982, 'индия': 0.2613580124337982, 'август': 0.22218279329210774, 'риа': 0.16009153999499479, 'Ru': 0.11756714998750845, 'первый': 0.10091951210245884, 'газета': 0.09588823667248458, 'новость': 0.09588823667248458}"
"texts\economics\Набиуллина допустила, что Центробанк может повысить ставку выше 21% в декабре.txt","{'повышать': 0.3024192077048535, 'ставка': 0.2875495220849679, 'декабрь': 0.25143304347068746, 'годовой': 0.2137454880531112, 'процент': 0.2137454880531112, 'заседание': 0.2137454880531112, 'регулятор': 0.20161280513656896, 'учет': 0.20161280513656896, 'банк': 0.19169968138997864, 'ключевой': 0.16392524971899267}"
texts\economics\Набиуллина объяснила рост цен в 2024 году перегревом спроса.txt,"{'рост': 0.3239641358939661, 'глава': 0.28330186943253505, 'регулятор': 0.2672210071752952, 'цена': 0.2672210071752952, 'перегрев': 0.22216906003853862, 'спрос': 0.22216906003853862, 'объяснять': 0.17814733811686342, 'ставка': 0.16938799068016722, 'слово': 0.16938799068016722, 'банк': 0.16938799068016722}"
texts\economics\Пять компаний получили сертификаты «Сделано в России» по соглашению с РЭЦ.txt,"{'сертификат': 0.3971050504118388, 'сделать': 0.2531869269358659, 'риа': 0.24324166865297212, 'компания': 0.22707311236274225, 'новость': 0.21853760691978621, 'россия': 0.2133316015989114, 'продвижение': 0.1985525252059194, 'получать': 0.18803518366298333, 'соглашение': 0.18114331549050364, 'пять': 0.18114331549050364}"
texts\economics\токенизированные RWA-активы станут конкурентами USDT от Tether.txt,"{'РБК': 0.41012205610895525, 'RWA': 0.36468923658109614, 'токенизировать': 0.24312615772073076, 'токен': 0.24312615772073076, 'актив': 0.22180870400074518, 'разрешать': 0.12156307886036538, 'сектор': 0.12156307886036538, 'тенденция': 0.12156307886036538, 'криптоэкономика': 0.12156307886036538, 'крипто': 0.12156307886036538}"
"texts\economics\Чистая прибыль Mercedes-Benz в III кв. упала в два раза, не оправдав прогнозов.txt","{'Mercedes': 0.3304742528025646, 'млрд': 0.29046010606437667, 'Benz': 0.24149017857972796, 'прибыль': 0.24149017857972796, 'интерфакс': 0.22031616853504307, 'чистый': 0.22031616853504307, 'квартал': 0.22031616853504307, 'снижаться': 0.22031616853504307, 'евро': 0.22031616853504307, 'мало': 0.22031616853504307}"
texts\economics\Экономист Беляев назвал самым выгодным способом вложения денег вклады в банках.txt,"{'вклад': 0.3293825602262533, 'банк': 0.25113060311879604, 'беляев': 0.21958837348416885, 'экономист': 0.21958837348416885, 'способ': 0.21958837348416885, 'вложение': 0.21958837348416885, 'ридус': 0.20033472742205888, 'Lenta': 0.16010050556954275, 'правило': 0.10979418674208442, 'металлический': 0.10979418674208442}"
texts\economics\Эксперты РБК дали прогноз по курсу рубля после решения ЦБ по ставке.txt,"{'РБК': 0.35817689498276833, 'ставка': 0.3237763794549321, 'цб': 0.27075843219273715, 'пересчет': 0.21233233122767584, 'год': 0.1964695403915276, 'цель': 0.19371489949331716, 'повышение': 0.19371489949331716, 'кредит': 0.18050562146182475, 'эксперт': 0.17025970942037127, 'инфляция': 0.17025970942037127}"
texts\science\Clone создали искусственные мышцы для роботов.txt,"{'робот': 0.4266047711225306, 'N': 0.31995357834189797, 'Clone': 0.2509118132491327, 'мышца': 0.2509118132491327, 'тело': 0.2289117083781463, 'искусственный': 0.2133023855612653, 'создавать': 0.1913022806902789, 'двигать': 0.12545590662456635, 'анатомия': 0.12545590662456635, 'матрица': 0.12545590662456635}"
texts\science\JAMA Ophthalmology добавки с куркумином защищают от потери зрения.txt,"{'куркумин': 0.3247235630617452, 'Anonsens': 0.3247235630617452, 'риск': 0.3247235630617452, 'развитие': 0.24757845158093686, 'дегенерация': 0.21648237537449677, 'макулярный': 0.21648237537449677, 'Ophthalmology': 0.21648237537449677, 'слепота': 0.21648237537449677, 'добавка': 0.21648237537449677, 'JAMA': 0.21648237537449677}"
texts\science\LU химики приблизились к открытию самого тяжелого элемента таблицы Менделеева.txt,"{'элемент': 0.4629676613114906, 'экоправда': 0.29810839104059295, 'сверхтяжелый': 0.2178392052572923, 'таблица': 0.2178392052572923, 'тяжелый': 0.1987389273603953, 'эксперимент': 0.1987389273603953, 'исследование': 0.15253492379190015, 'ученый': 0.13343464589500312, 'ионный': 0.10891960262864615, 'атом': 0.10891960262864615}"
"texts\science\«Палеороботы» расскажут ученым, как рыбы вышли на сушу.txt","{'рыба': 0.454112258792841, 'древний': 0.310721558731016, 'ишид': 0.2270561293964205, 'сушить': 0.2270561293964205, 'выходить': 0.17311403092493682, 'Lenta': 0.16554519955789557, 'ученый': 0.1390803560291963, 'вдохновляться': 0.11352806469821025, 'прыгун': 0.11352806469821025, 'иида': 0.11352806469821025}"
texts\science\Академик Черниговская сравнила интеллект человека и ИИ.txt,"{'человек': 0.3661025662633838, 'экоправда': 0.28619871245618267, 'семиотический': 0.20913634751940172, 'черниговский': 0.20913634751940172, 'академик': 0.20913634751940172, 'ран': 0.20913634751940172, 'ия': 0.1907991416374551, 'интеллект': 0.1907991416374551, 'выдающийся': 0.10456817375970086, 'лишь': 0.10456817375970086}"
texts\science\В горах Узбекистана найдены два средневековых города Шёлкового пути.txt,"{'окружать': 0.24459198658070924, 'узбекистан': 0.24459198658070924, 'гора': 0.24459198658070924, 'средневековый': 0.24459198658070924, 'город': 0.22314600806858714, 'друг': 0.19612727049621786, 'два': 0.17126770173960232, 'газета': 0.13460555931904888, 'российский': 0.12551600551120645, 'радарный': 0.12229599329035462}"
texts\science\В Сибири первую фазу испытаний прошло единственное в России лекарство от рака.txt,"{'препарат': 0.39332241874404983, 'испытание': 0.3665020492278244, 'фаза': 0.3233427048505632, 'сибирь': 0.21556180323370877, 'проходить': 0.19666120937202491, 'вводить': 0.19666120937202491, 'лекарство': 0.19666120937202491, 'первый': 0.18728096975986386, 'единственный': 0.1832510246139122, 'рак': 0.17284927720851379}"
texts\science\Идет расследование новой тайны обнаружено «нечто» в телах перуанских мумий.txt,"{'перо': 0.27620470253041557, 'мумия': 0.27620470253041557, 'обнаруживать': 0.20137911590748564, 'подделка': 0.13810235126520778, 'предполагать': 0.13810235126520778, 'образец': 0.13810235126520778, 'осмий': 0.13810235126520778, 'расследование': 0.13810235126520778, 'кадмий': 0.13810235126520778, 'легкий': 0.13810235126520778}"
texts\science\Исследование раскрывает новую роль воспалительного белка в жировой ткани.txt,"{'Android': 0.3317583059917352, 'com': 0.3317583059917352, 'robot': 0.3317583059917352, 'жировой': 0.24881872949380138, 'воспалительный': 0.24881872949380138, 'IL': 0.24881872949380138, 'исследование': 0.23230312404972936, 'энергия': 0.22700214751687395, 'ткань': 0.1658791529958676, 'функция': 0.15133476501124932}"
texts\science\Российские нейросети помогут в мониторинге земель.txt,"{'объект': 0.32507823040879336, 'PointNext': 0.21671882027252892, 'нейросеть': 0.21671882027252892, 'постройка': 0.21671882027252892, 'маркс': 0.21671882027252892, 'карл': 0.21671882027252892, 'алгоритм': 0.19771677843252175, 'земля': 0.18423461518830384, 'данные': 0.1737770369316089, 'российский': 0.11121247682713031}"
texts\science\Учёные разработали микророботов для точной доставки лекарств.txt,"{'микроробот': 0.3464387064148768, 'лекарство': 0.31606274374575966, 'Ferra': 0.252586287542582, 'разрабатывать': 0.23095913760991785, 'доставка': 0.23095913760991785, 'ученый': 0.1414710942724716, 'технологический': 0.11547956880495892, 'зерно': 0.11547956880495892, 'ITinfo': 0.11547956880495892, 'минимизировать': 0.11547956880495892}"
texts\science\Учёные рассказали о важности генеративного ИИ в образовании будущего.txt,"{'ия': 0.29732824958617293, 'важность': 0.21726912605279255, 'GenAI': 0.21726912605279255, 'оценка': 0.1982188330574486, 'санкт-петербург': 0.1982188330574486, 'москва': 0.1742183022900134, 'работа': 0.1656521420783546, 'Ferra': 0.15840955681659805, 'РБК': 0.1466018490830107, 'студент': 0.10863456302639628}"
"texts\science\Учёные рассказали, что красное мясо способствует развитию рака.txt","{'рак': 0.39947503957650016, 'теломераз': 0.24909435916844577, 'колоректальный': 0.24909435916844577, 'мясо': 0.24909435916844577, 'фермент': 0.24909435916844577, 'способствовать': 0.24909435916844577, 'красный': 0.21175735152704206, 'медиапоток': 0.21175735152704206, 'ученый': 0.15257959452627792, 'замедлять': 0.12454717958422289}"
"texts\science\Учёный объяснил, могут ли грибки привести к зомби-апокалипсису.txt","{'Today': 0.3332776232680087, 'Planet': 0.3332776232680087, 'насекомое': 0.22218508217867247, 'гигиена': 0.22218508217867247, 'грибок': 0.22218508217867247, 'ученый': 0.13609665775564464, 'больший': 0.11109254108933624, 'cicadina': 0.11109254108933624, 'базовый': 0.11109254108933624, 'инфекция': 0.11109254108933624}"
"texts\science\Учёными озвучены ТОП-6 ключевых эпигенетических признаков того, что идет рак.txt","{'эпигенетический': 0.3101046887276718, 'UfacityNews': 0.3101046887276718, 'ген': 0.28291451547656465, 'ученый': 0.18995069910342446, 'озвучивать': 0.1550523443638359, 'ядро': 0.1550523443638359, 'структура': 0.1550523443638359, 'противораковый': 0.1550523443638359, 'днк': 0.1550523443638359, 'ремоделирование': 0.1550523443638359}"
texts\science\Ученые выявили самый мощный вулканический выброс за последние 10 тыс. лет.txt,"{'вулкан': 0.38772842439326827, 'кикать': 0.2907963182949513, 'последний': 0.21201777142422276, 'извержение': 0.19386421219663413, 'аномальный': 0.19386421219663413, 'вулканический': 0.19386421219663413, 'кубический': 0.19386421219663413, 'выброс': 0.19386421219663413, 'кольцо': 0.19386421219663413, 'ученый': 0.17812360136655664}"
texts\science\Ученые создали цифровые двойники пациентов для прогнозирования лечения рака.txt,"{'Ferra': 0.32425371855864954, 'пациент': 0.304305474045582, 'лечение': 0.304305474045582, 'двойник': 0.22236765087402927, 'клинический': 0.22236765087402927, 'ученый': 0.20431273184618706, 'цифровой': 0.20287031603038796, 'метод': 0.1890367368075643, 'точный': 0.1890367368075643, 'испытание': 0.1890367368075643}"
texts\sport\«Он — рок-звезда!» Реакция Америки на грандиозное достижение Бобровского в НХЛ.txt,"{'чемпионат': 0.3707097613110549, 'америка': 0.2935834578651924, 'достижение': 0.2678418764793532, 'победа': 0.2678418764793532, 'бобровский': 0.2678418764793532, 'реакция': 0.24957793382885782, 'матч': 0.21404985740039884, 'уникальный': 0.1467917289325962, 'Hockey': 0.1467917289325962, 'лундквист': 0.1467917289325962}"
"texts\sport\«Тампа» дома проиграла «Миннесоте», Капризов и Кучеров забросили шайбы.txt","{'тампа': 0.3912318034810939, 'лайтнинг': 0.26082120232072925, 'миннесота': 0.26082120232072925, 'каприз': 0.26082120232072925, 'кучер': 0.26082120232072925, 'матч': 0.19016310240949644, 'риа': 0.15976272375980144, 'новость': 0.14353693394228928, 'забросить': 0.13041060116036463, 'форвард': 0.13041060116036463}"
texts\sport\Бобровского признали первой звездой дня в НХЛ после рекордной 400-й победы.txt,"{'признавать': 0.32870559177338593, 'флорида': 0.32870559177338593, 'матч': 0.3195429132028484, 'бобровский': 0.2998844796979898, 'звезда': 0.26357417269713107, 'победа': 0.19992298646532652, 'день': 0.17571611513142074, 'первый': 0.12692477891996048, 'гостевой': 0.10956853059112866, 'девять': 0.10956853059112866}"
texts\sport\Болельщики «Спартака» скандировали «СКА - позор российского хоккея» на матче КХЛ.txt,"{'ска': 0.46633298916833144, 'кхл': 0.2555755158159589, 'хоккей': 0.2555755158159589, 'скандировать': 0.2555755158159589, 'болельщик': 0.2555755158159589, 'позор': 0.2555755158159589, 'спартак': 0.23316649458416572, 'матч': 0.18633850528649065, 'чемпионат': 0.16135844157232543, 'российский': 0.13115236643740213}"
texts\sport\Воспитанник «Краснодара» Дашин В США ни разу не столкнулся с дискриминацией.txt,"{'краснодар': 0.48219803728819866, 'воспитанник': 0.36164852796614905, 'сша': 0.27573109178208677, 'дашин': 0.24109901864409933, 'News': 0.1838207278547245, 'ru': 0.1424105500991195, 'академия': 0.12054950932204966, 'отставать': 0.12054950932204966, 'локомотив': 0.12054950932204966, 'балл': 0.12054950932204966}"
texts\sport\Гран При Мехико Элементы силовых установок.txt,"{'мехико': 0.3225611612984329, 'силовой': 0.2942787967338493, 'элемент': 0.274212139729159, 'установка': 0.274212139729159, 'гран': 0.2150407741989553, 'MGU': 0.2150407741989553, 'перед': 0.19618586448923292, 'гонщик': 0.18280809315277266, 'ru': 0.16935821704923534, 'команда': 0.14509827373332787}"
texts\sport\Евгений Кузнецов заработал три удаления за первые 10 минут матча со «Спартаком».txt,"{'кузнецов': 0.38721892296209365, 'минута': 0.2581459486413958, 'спартак': 0.23551155025022877, 'евгений': 0.23551155025022877, 'удаление': 0.23551155025022877, 'зарабатывать': 0.23551155025022877, 'три': 0.23551155025022877, 'Smotrim': 0.21945218901874852, 'матч': 0.18821259173449048, 'первый': 0.14951883211184316}"
texts\sport\Колапинто проигнорировал Брандла в Остине из-за слов о Пересе.txt,"{'колапинто': 0.4526520335333888, 'брандл': 0.3394890251500416, 'франко': 0.2263260167666944, 'перес': 0.2263260167666944, 'Sports': 0.2263260167666944, 'проигнорировать': 0.2263260167666944, 'чемпионат': 0.2143375113779116, 'остин': 0.20648160992341832, 'слово': 0.17255737235466573, 'команда': 0.15271296551138963}"
